Wall time,Step,Value
1600088128.4523423,45099,0.699999988079071
1600088129.3683212,45599,0.5714285969734192
1600088130.2684395,46099,0.5714285969734192
1600088131.1617641,46599,0.5714285969734192
1600088132.07548,47099,0.75
1600088132.9907756,47599,0.699999988079071
1600088133.8883307,48099,0.625
1600088134.7904003,48599,0.800000011920929
1600088135.7075,49099,0.5
1600088136.6043658,49599,0.625
1600088137.5096192,50099,0.6666666865348816
1600088138.4146752,50599,0.699999988079071
1600088139.3300178,51099,0.6666666865348816
1600088140.2483327,51599,0.75
1600088141.1815383,52099,0.6363636255264282
1600088142.1993475,52599,0.800000011920929
1600088143.1555789,53099,0.625
1600088144.0926354,53599,0.5
1600088145.0619907,54099,0.5
1600088145.956421,54599,0.7142857313156128
1600088146.8512409,55099,0.75
1600088147.7794724,55599,0.6666666865348816
1600088148.6745286,56099,0.625
1600088149.5597515,56599,0.6666666865348816
1600088150.4767022,57099,0.625
1600088151.432829,57599,0.5
1600088152.4104218,58099,0.5714285969734192
1600088153.324587,58599,0.7272727489471436
1600088154.2536879,59099,0.5
1600088155.1607683,59599,0.6000000238418579
1600088156.0975204,60099,0.6000000238418579
1600088157.0092626,60599,0.6000000238418579
1600088157.9179018,61099,0.5555555820465088
1600088158.8882828,61599,0.7272727489471436
1600088159.8246331,62099,0.5
1600088160.7439246,62599,0.5714285969734192
1600088161.6672935,63099,0.692307710647583
1600088162.601746,63599,0.5
1600088163.5446117,64099,0.6666666865348816
1600088164.4584231,64599,0.6666666865348816
1600088165.3886473,65099,0.7777777910232544
1600088166.3304777,65599,0.5
1600088167.2395613,66099,0.6666666865348816
1600088168.1633747,66599,0.8333333134651184
1600088169.1243446,67099,0.7142857313156128
1600088170.09263,67599,0.75
1600088171.0918546,68099,0.625
1600088172.076512,68599,0.5714285969734192
1600088173.0078444,69099,0.8333333134651184
1600088173.9175823,69599,0.6000000238418579
1600088174.8638816,70099,0.5
1600088175.773472,70599,0.5
1600088176.7047086,71099,0.699999988079071
1600088177.6446917,71599,0.6000000238418579
1600088178.5758507,72099,0.625
1600088179.491805,72599,0.6666666865348816
1600088180.3951867,73099,0.5
1600088181.304883,73599,0.6000000238418579
1600088182.2087538,74099,0.6000000238418579
1600088183.1068974,74599,0.7142857313156128
